"ngram","pubyear","count","rel_freq"
"924","Injection moulding",2015,6,1.79385443409424e-06
"925","Centrifugal force",2012,6,3.56680658456274e-06
"926","Beaufort scale",2007,6,2.05215623475846e-06
"927","Field coil",2015,6,1.79385443409424e-06
"928","Renewable energy",2010,6,3.22410426323307e-06
"929","Room temperature",2015,6,1.79385443409424e-06
"930","Central Zone (Hindi)",2009,6,1.83164775948267e-06
"931","Signal edge",2015,6,1.79385443409424e-06
"932","Electrolysis of water",2014,6,1.6246192637063e-06
"933","Hydrogen production",2009,6,1.83164775948267e-06
"934","Gear",2013,6,1.90770218861134e-06
"935","Execution unit",2008,6,1.6973721284707e-06
"936","Thermometer",2015,6,1.79385443409424e-06
"937","Displacement (fluid)",2013,6,1.90770218861134e-06
"938","Oxide",2011,6,3.26717841571251e-06
"939","Sine wave",2011,6,3.26717841571251e-06
"940","Relative velocity",2011,6,3.26717841571251e-06
"941","Fluid dynamics",2006,6,2.44544617165402e-06
"942","Normal (geometry)",2009,6,1.83164775948267e-06
"943","Electric heating",2011,6,3.26717841571251e-06
"944","Electronic System",2012,6,3.56680658456274e-06
"945","Linear actuator",2015,6,1.79385443409424e-06
"946","Lorentz force",2007,6,2.05215623475846e-06
"947","Preadditive category",2008,6,1.6973721284707e-06
"948","Sampling (signal processing)",2014,6,1.6246192637063e-06
"949","Control theory",2011,6,3.26717841571251e-06
"950","Induction motor",2006,6,2.44544617165402e-06
"951","Heating system",2011,6,3.26717841571251e-06
"952","Coolant",2012,6,3.56680658456274e-06
"953","Structural element",2015,6,1.79385443409424e-06
"954","Frequency changer",2011,6,3.26717841571251e-06
"955","Limit superior and limit inferior",2011,6,3.26717841571251e-06
"956","Flow battery",2014,6,1.6246192637063e-06
"957","Switching circuit theory",2011,6,3.26717841571251e-06
"958","Air pollution",2011,6,3.26717841571251e-06
"959","Wireless transmission",2011,6,3.26717841571251e-06
"960","Failure cause",2011,6,3.26717841571251e-06
"961","Electric generator",2009,6,1.83164775948267e-06
"962","Start point (yeast)",2011,6,3.26717841571251e-06
"963","Assembly line",2008,6,1.6973721284707e-06
"964","DC motor",2011,6,3.26717841571251e-06
"965","Electromagnetic spectrum",2011,6,3.26717841571251e-06
"966","Anchor point",2012,6,3.56680658456274e-06
"967","Waste heat",2015,6,1.79385443409424e-06
"968","Lattice tower",2014,6,1.6246192637063e-06
"969","Combustion chamber",2015,6,1.79385443409424e-06
"970","Carbon dioxide",2009,6,1.83164775948267e-06
"971","Execution unit",2009,6,1.83164775948267e-06
"972","Experience point",2015,6,1.79385443409424e-06
"973","Magnetic bearing",2014,6,1.6246192637063e-06
"974","Endless (Frank Ocean album)",2011,6,3.26717841571251e-06
"975","Heat Generation",2011,6,3.26717841571251e-06
"976","Detection limit",2013,6,1.90770218861134e-06
"977","Angular displacement",2009,6,1.83164775948267e-06
"978","Inter Alia",2013,6,1.90770218861134e-06
"979","Reaction (physics)",2014,6,1.6246192637063e-06
"980","Speedster (fiction)",2011,6,3.26717841571251e-06
"981","Mass excess",2009,6,1.83164775948267e-06
"982","Ocean",2011,6,3.26717841571251e-06
"983","Aerodynamic force",2008,6,1.6973721284707e-06
"984","Betz's law",2010,6,3.22410426323307e-06
"985","Electronics",2012,6,3.56680658456274e-06
"986","Normal distribution",2011,6,3.26717841571251e-06
"987","Force",2015,6,1.79385443409424e-06
"988","Linear alternator",2009,6,1.83164775948267e-06
"989","Machine tool",2015,6,1.79385443409424e-06
"990","Time of arrival",2015,6,1.79385443409424e-06
"991","Angular velocity",2013,6,1.90770218861134e-06
"992","Wave farm",2011,6,3.26717841571251e-06
"993","Wind resource assessment",2015,6,1.79385443409424e-06
"994","Fatigue (material)",2015,6,1.79385443409424e-06
"995","Neutron source",2008,6,1.6973721284707e-06
"996","Renewable energy",2006,6,2.44544617165402e-06
"997","Linkage (mechanical)",2014,6,1.6246192637063e-06
"998","Surface area",2014,6,1.6246192637063e-06
"999","Lateral area",2010,6,3.22410426323307e-06
"1000","Frequency",2011,6,3.26717841571251e-06
"1001","Unit vector",2011,6,3.26717841571251e-06
"1002","Representative example",2011,6,3.26717841571251e-06
"1003","Direct current",2015,6,1.79385443409424e-06
"1004","Melody",2010,6,3.22410426323307e-06
"1005","Electromagnetic induction",2007,6,2.05215623475846e-06
"1006","Diesel generator",2006,6,2.44544617165402e-06
"1007","Environmental flow",2007,6,2.05215623475846e-06
"1008","Duct (flow)",2013,6,1.90770218861134e-06
"1009","ISO 2145",2011,6,3.26717841571251e-06
"1010","Electric power system",2009,6,1.83164775948267e-06
"1011","Pressure vessel",2010,6,3.22410426323307e-06
"1012","Computer case",2011,6,3.26717841571251e-06
"1013","Solar cell",2006,6,2.44544617165402e-06
"1014","Boundary layer control",2009,6,1.83164775948267e-06
"1015","Isochoric process",2008,6,1.6973721284707e-06
"1016","Region",2011,6,3.26717841571251e-06
"1017","Heat transfer",2007,6,2.05215623475846e-06
"1018","Mechanical load",2013,6,1.90770218861134e-06
"1019","Epicyclic gearing",2010,6,3.22410426323307e-06
"1020","Preventive maintenance",2011,6,3.26717841571251e-06
"1021","Potential energy",2013,6,1.90770218861134e-06
"1022","Auxiliary line",2007,6,2.05215623475846e-06
"1023","Waste heat",2014,6,1.6246192637063e-06
"1024","Supervisory control",2011,6,3.26717841571251e-06
"1025","Cryogenics",2014,6,1.6246192637063e-06
"1026","Light",2012,6,3.56680658456274e-06
"1027","Thermomechanical processing",2008,6,1.6973721284707e-06
"1028","Potential energy",2014,6,1.6246192637063e-06
"1029","Electric power",2014,6,1.6246192637063e-06
"1030","Natural frequency",2015,6,1.79385443409424e-06
"1031","Disc brake",2015,6,1.79385443409424e-06
"1032","Transition metal",2011,6,3.26717841571251e-06
"1033","Heat sink",2008,6,1.6973721284707e-06
"1034","Surface area",2012,6,3.56680658456274e-06
"1035","Flow straightener",2011,6,3.26717841571251e-06
"1036","Energy storage device",2007,6,2.05215623475846e-06
"1037","Value of life",2009,5,1.52637313290222e-06
"1038","Rib cage",2010,5,2.68675355269422e-06
"1039","Urban area",2009,5,1.52637313290222e-06
"1040","State variable",2014,5,1.35384938642192e-06
"1041","Composite material",2008,5,1.41447677372558e-06
"1042","Cavity wall",2015,5,1.49487869507853e-06
"1043","Voltage regulation",2011,5,2.72264867976043e-06
"1044","Reference range",2013,5,1.58975182384278e-06
"1045","Transient state",2014,5,1.35384938642192e-06
"1046","Heat-transfer fluid",2011,5,2.72264867976043e-06
"1047","Wave power",2013,5,1.58975182384278e-06
"1048","Natural frequency",2014,5,1.35384938642192e-06
"1049","Statistical significance",2011,5,2.72264867976043e-06
"1050","Adjustable-speed drive",2013,5,1.58975182384278e-06
"1051","Duct (flow)",2009,5,1.52637313290222e-06
"1052","Interference fit",2011,5,2.72264867976043e-06
"1053","Vacuum",2015,5,1.49487869507853e-06
"1054","Ocean",2015,5,1.49487869507853e-06
"1055","Offshore structure",2012,5,2.97233882046895e-06
"1056","Systems design",2011,5,2.72264867976043e-06
"1057","Water vapor",2015,5,1.49487869507853e-06
"1058","Structural element",2012,5,2.97233882046895e-06
"1059","Surface area",2009,5,1.52637313290222e-06
"1060","Volumetric flow rate",2015,5,1.49487869507853e-06
"1061","Series and parallel circuits",2013,5,1.58975182384278e-06
"1062","Moment of inertia",2010,5,2.68675355269422e-06
"1063","Voltage source",2012,5,2.97233882046895e-06
"1064","Alternator",2007,5,1.71013019563205e-06
"1065","Yaw system",2013,5,1.58975182384278e-06
"1066","Smart grid",2011,5,2.72264867976043e-06
"1067","Reference range",2015,5,1.49487869507853e-06
"1068","Signal generator",2011,5,2.72264867976043e-06
"1069","Control variable",2009,5,1.52637313290222e-06
"1070","Capacity factor",2011,5,2.72264867976043e-06
"1071","Crystal structure",2011,5,2.72264867976043e-06
"1072","Control unit",2010,5,2.68675355269422e-06
"1073","Motive power",2012,5,2.97233882046895e-06
"1074","Power electronics",2012,5,2.97233882046895e-06
"1075","Vortex tube",2015,5,1.49487869507853e-06
"1076","Leading edge",2006,5,2.03787180971168e-06
"1077","Grid code",2011,5,2.72264867976043e-06
"1078","Test cricket",2009,5,1.52637313290222e-06
"1079","Rolling-element bearing",2008,5,1.41447677372558e-06
"1080","Structural element",2010,5,2.68675355269422e-06
"1081","Hydraulic cylinder",2011,5,2.72264867976043e-06
"1082","Wave",2011,5,2.72264867976043e-06
"1083","Arc length",2008,5,1.41447677372558e-06
"1084","Heat transfer",2008,5,1.41447677372558e-06
"1085","Energy development",2008,5,1.41447677372558e-06
"1086","High pressure",2007,5,1.71013019563205e-06
"1087","Array data structure",2014,5,1.35384938642192e-06
"1088","Ground plane",2012,5,2.97233882046895e-06
"1089","Synthetic membrane",2015,5,1.49487869507853e-06
"1090","Mumbai Police Detection Unit",2015,5,1.49487869507853e-06
"1091","Angular displacement",2013,5,1.58975182384278e-06
"1092","Ecosystem valuation",2007,5,1.71013019563205e-06
"1093","Flow velocity",2014,5,1.35384938642192e-06
"1094","Body of water",2013,5,1.58975182384278e-06
"1095","Streamflow",2012,5,2.97233882046895e-06
"1096","Standard deviation",2015,5,1.49487869507853e-06
"1097","Dew point",2015,5,1.49487869507853e-06
"1098","Sustainable development",2011,5,2.72264867976043e-06
"1099","Synchronous motor",2009,5,1.52637313290222e-06
"1100","Phase angle",2015,5,1.49487869507853e-06
"1101","Battery (electricity)",2010,5,2.68675355269422e-06
"1102","Angular frequency",2013,5,1.58975182384278e-06
"1103","View Point",2011,5,2.72264867976043e-06
"1104","Parity (mathematics)",2006,5,2.03787180971168e-06
"1105","Fibre-reinforced plastic",2012,5,2.97233882046895e-06
"1106","Environmental flow",2014,5,1.35384938642192e-06
"1107","Magnetic circuit",2015,5,1.49487869507853e-06
"1108","Design methods",2011,5,2.72264867976043e-06
"1109","Strain gauge",2012,5,2.97233882046895e-06
"1110","Work (physics)",2011,5,2.72264867976043e-06
"1111","Sunspot",2011,5,2.72264867976043e-06
"1112","Offshore structure",2015,5,1.49487869507853e-06
"1113","Surface area",2015,5,1.49487869507853e-06
"1114","Noise (electronics)",2013,5,1.58975182384278e-06
"1115","Pressure",2014,5,1.35384938642192e-06
"1116","Deformation (engineering)",2010,5,2.68675355269422e-06
"1117","Transmission system",2010,5,2.68675355269422e-06
"1118","Signaling (telecommunications)",2006,5,2.03787180971168e-06
"1119","Stainless steel",2011,5,2.72264867976043e-06
"1120","Atmospheric pressure",2014,5,1.35384938642192e-06
"1121","Wave power",2008,5,1.41447677372558e-06
"1122","Cogging torque",2011,5,2.72264867976043e-06
"1123","Current transformer",2014,5,1.35384938642192e-06
"1124","Horizontal plane",2015,5,1.49487869507853e-06
"1125","Absolute value",2011,5,2.72264867976043e-06
"1126","Energy storage device",2009,5,1.52637313290222e-06
"1127","Pressure",2008,5,1.41447677372558e-06
"1128","Fibre-reinforced plastic",2015,5,1.49487869507853e-06
"1129","Flow control",2014,5,1.35384938642192e-06
"1130","Electrical connection",2014,5,1.35384938642192e-06
"1131","Ultimate tensile strength",2011,5,2.72264867976043e-06
"1132","Fibre-reinforced plastic",2013,5,1.58975182384278e-06
"1133","Torsional vibration",2008,5,1.41447677372558e-06
"1134","Grid energy storage",2015,5,1.49487869507853e-06
"1135","Power engineering",2013,5,1.58975182384278e-06
"1136","Eddy current",2011,5,2.72264867976043e-06
"1137","Pulse-width modulation",2007,5,1.71013019563205e-06
"1138","Signal processing",2015,5,1.49487869507853e-06
"1139","Electric power distribution",2012,5,2.97233882046895e-06
"1140","Fundamental frequency",2011,5,2.72264867976043e-06
"1141","Storage tank",2012,5,2.97233882046895e-06
"1142","Yaw (rotation)",2015,5,1.49487869507853e-06
"1143","Low-pressure area",2009,5,1.52637313290222e-06
"1144","Bearing surface",2012,5,2.97233882046895e-06
"1145","Circular sector",2007,5,1.71013019563205e-06
"1146","Dissipation",2010,5,2.68675355269422e-06
"1147","Epicyclic gearing",2008,5,1.41447677372558e-06
"1148","Pharmaceutical formulation",2014,5,1.35384938642192e-06
"1149","Block diagram",2007,5,1.71013019563205e-06
"1150","Signal transduction",2015,5,1.49487869507853e-06
"1151","Thermal power station",2009,5,1.52637313290222e-06
"1152","Singleton (mathematics)",2013,5,1.58975182384278e-06
"1153","Leading edge",2012,5,2.97233882046895e-06
"1154","Solid body",2011,5,2.72264867976043e-06
"1155","Relative velocity",2014,5,1.35384938642192e-06
"1156","Energy recovery",2011,5,2.72264867976043e-06
"1157","Electrochemical cell",2011,5,2.72264867976043e-06
"1158","Pole piece",2011,5,2.72264867976043e-06
"1159","Supply network",2014,5,1.35384938642192e-06
"1160","Heat pump",2009,5,1.52637313290222e-06
"1161","Hydrogen tank",2011,5,2.72264867976043e-06
"1162","High voltage",2014,5,1.35384938642192e-06
"1163","Photovoltaic system",2008,5,1.41447677372558e-06
"1164","Diagnostic equation",2011,5,2.72264867976043e-06
"1165","Air mass",2015,5,1.49487869507853e-06
"1166","Test cricket",2008,5,1.41447677372558e-06
"1167","Angular displacement",2012,5,2.97233882046895e-06
"1168","Surface finishing",2012,5,2.97233882046895e-06
"1169","Dental notation",2011,5,2.72264867976043e-06
"1170","Field coil",2009,5,1.52637313290222e-06
"1171","Evaluation function",2015,5,1.49487869507853e-06
"1172","Pneumatic actuator",2010,5,2.68675355269422e-06
"1173","Passivity (engineering)",2007,5,1.71013019563205e-06
"1174","Rotational energy",2009,5,1.52637313290222e-06
"1175","Induction generator",2008,5,1.41447677372558e-06
"1176","Induction generator",2012,5,2.97233882046895e-06
"1177","Closed manifold",2015,5,1.49487869507853e-06
"1178","Position sensor",2013,5,1.58975182384278e-06
"1179","Electric power conversion",2006,5,2.03787180971168e-06
"1180","Decibel",2015,5,1.49487869507853e-06
"1181","Solar thermal energy",2014,5,1.35384938642192e-06
"1182","Carbon dioxide",2012,5,2.97233882046895e-06
"1183","User equipment",2011,5,2.72264867976043e-06
"1184","Class implementation file",2011,5,2.72264867976043e-06
"1185","Transformer",2013,5,1.58975182384278e-06
"1186","Lateral movement",2011,5,2.72264867976043e-06
"1187","Time",2011,5,2.72264867976043e-06
"1188","Magnetic core",2008,5,1.41447677372558e-06
"1189","Electrical network",2006,5,2.03787180971168e-06
"1190","Melody",2015,5,1.49487869507853e-06
"1191","Field coil",2014,5,1.35384938642192e-06
"1192","Transmission system",2013,5,1.58975182384278e-06
"1193","Yaw system",2012,5,2.97233882046895e-06
"1194","AC power",2006,5,2.03787180971168e-06
"1195","Windcatcher",2012,5,2.97233882046895e-06
"1196","Geothermal heating",2014,5,1.35384938642192e-06
"1197","World energy consumption",2013,5,1.58975182384278e-06
"1198","Power rating",2011,5,2.72264867976043e-06
"1199","ContactPoint",2011,5,2.72264867976043e-06
"1200","Bijection",2011,5,2.72264867976043e-06
"1201","Hydraulic cylinder",2013,5,1.58975182384278e-06
"1202","Flow Chart",2014,5,1.35384938642192e-06
"1203","Energy consumption",2014,5,1.35384938642192e-06
"1204","Composite material",2007,5,1.71013019563205e-06
"1205","Plane of rotation",2008,5,1.41447677372558e-06
"1206","Solenoid valve",2011,5,2.72264867976043e-06
"1207","Bearing (mechanical)",2014,5,1.35384938642192e-06
"1208","Sea level",2006,5,2.03787180971168e-06
"1209","Vaccine",2011,5,2.72264867976043e-06
"1210","Horizontal and vertical",2007,5,1.71013019563205e-06
"1211","Thermal energy",2012,5,2.97233882046895e-06
"1212","Fuel cell",2007,5,1.71013019563205e-06
"1213","Loss function",2015,5,1.49487869507853e-06
"1214","Lift (force)",2010,5,2.68675355269422e-06
"1215","Dental notation",2015,5,1.49487869507853e-06
"1216","Energy transformation",2006,5,2.03787180971168e-06
"1217","Power module",2011,5,2.72264867976043e-06
"1218","Electrical connection",2009,5,1.52637313290222e-06
"1219","Power outage",2013,5,1.58975182384278e-06
"1220","Drive shaft",2011,5,2.72264867976043e-06
"1221","Alternating current",2015,5,1.49487869507853e-06
"1222","Standard deviation",2014,5,1.35384938642192e-06
"1223","Angle",2015,5,1.49487869507853e-06
"1224","Heat Generation",2015,5,1.49487869507853e-06
"1225","Plastic film",2012,5,2.97233882046895e-06
"1226","Stress (mechanics)",2009,5,1.52637313290222e-06
"1227","Support surface",2012,5,2.97233882046895e-06
"1228","Energy consumption",2012,5,2.97233882046895e-06
"1229","Linear actuator",2010,5,2.68675355269422e-06
"1230","Fiber optic sensor",2010,5,2.68675355269422e-06
"1231","Pressure",2015,5,1.49487869507853e-06
"1232","Surface area",2013,5,1.58975182384278e-06
"1233","Hydrogen production",2011,5,2.72264867976043e-06
"1234","Greenhouse gas",2011,5,2.72264867976043e-06
"1235","Voltage reference",2014,5,1.35384938642192e-06
"1236","Lift coefficient",2007,5,1.71013019563205e-06
"1237","Power-flow study",2011,5,2.72264867976043e-06
"1238","Utility frequency",2011,5,2.72264867976043e-06
"1239","Angular displacement",2007,5,1.71013019563205e-06
"1240","DC motor",2010,5,2.68675355269422e-06
"1241","Drive shaft",2015,5,1.49487869507853e-06
"1242","Limit superior and limit inferior",2013,5,1.58975182384278e-06
"1243","Decibel",2014,5,1.35384938642192e-06
"1244","Surface states",2013,5,1.58975182384278e-06
"1245","Transmission (mechanics)",2014,5,1.35384938642192e-06
"1246","Angular displacement",2015,5,1.49487869507853e-06
"1247","Lookup table",2011,5,2.72264867976043e-06
"1248","Main lobe",2007,5,1.71013019563205e-06
"1249","Contact Point",2011,5,2.72264867976043e-06
"1250","Floating raft system",2011,5,2.72264867976043e-06
"1251","Cost reduction",2009,5,1.52637313290222e-06
"1252","Transposable element",2015,5,1.49487869507853e-06
"1253","Emergency management",2012,5,2.97233882046895e-06
"1254","Duct (flow)",2014,5,1.35384938642192e-06
"1255","Cost of goods sold",2011,5,2.72264867976043e-06
"1256","Motive power",2010,5,2.68675355269422e-06
"1257","Plant efficiency",2012,5,2.97233882046895e-06
"1258","Yaw system",2015,5,1.49487869507853e-06
"1259","Demand load",2014,5,1.35384938642192e-06
"1260","Normal (geometry)",2008,5,1.41447677372558e-06
"1261","Fixed position assembly",2011,5,2.72264867976043e-06
"1262","Guide wire",2010,5,2.68675355269422e-06
"1263","Pressure",2012,5,2.97233882046895e-06
"1264","Plant System",2010,5,2.68675355269422e-06
"1265","Polyester resin",2010,5,2.68675355269422e-06
"1266","Transmission system",2011,5,2.72264867976043e-06
"1267","Pour point",2011,5,2.72264867976043e-06
"1268","Vertical plane",2014,5,1.35384938642192e-06
"1269","Neuromuscular junction",2007,5,1.71013019563205e-06
"1270","Test bench",2014,5,1.35384938642192e-06
"1271","Hybrid system",2011,5,2.72264867976043e-06
"1272","Lateral plate mesoderm",2011,5,2.72264867976043e-06
"1273","Injection moulding",2014,5,1.35384938642192e-06
"1274","Gear train",2013,5,1.58975182384278e-06
"1275","Motor vehicle",2007,5,1.71013019563205e-06
"1276","Dynamic pressure",2009,5,1.52637313290222e-06
"1277","Centrifugal force",2014,5,1.35384938642192e-06
"1278","Circuit diagram",2013,5,1.58975182384278e-06
"1279","Pressure gradient",2011,5,2.72264867976043e-06
"1280","Pulse-width modulation",2013,5,1.58975182384278e-06
"1281","Noise reduction",2015,5,1.49487869507853e-06
"1282","Wind wave",2007,5,1.71013019563205e-06
"1283","Euler angles",2015,5,1.49487869507853e-06
"1284","Disc brake",2012,5,2.97233882046895e-06
"1285","Hydrogen production",2006,5,2.03787180971168e-06
"1286","Voltage drop",2011,5,2.72264867976043e-06
"1287","Internal pressure",2014,5,1.35384938642192e-06
"1288","Guide wire",2014,5,1.35384938642192e-06
"1289","Storage tank",2015,5,1.49487869507853e-06
"1290","Desalination",2011,4,2.17811894380834e-06
"1291","Normal mode",2014,4,1.08307950913754e-06
"1292","Hydropower",2009,4,1.22109850632178e-06
"1293","Pressure measurement",2013,4,1.27180145907422e-06
"1294","Frequency band",2012,4,2.37787105637516e-06
"1295","Service quality",2011,4,2.17811894380834e-06
"1296","Heat sink",2007,4,1.36810415650564e-06
"1297","Curve fitting",2013,4,1.27180145907422e-06
"1298","Motor controller",2012,4,2.37787105637516e-06
"1299","Power control",2007,4,1.36810415650564e-06
"1300","Main lobe",2015,4,1.19590295606282e-06
"1301","Electric energy consumption",2014,4,1.08307950913754e-06
"1302","Base level",2011,4,2.17811894380834e-06
"1303","Electric power distribution",2011,4,2.17811894380834e-06
"1304","Current sensor",2011,4,2.17811894380834e-06
"1305","Robotic arm",2013,4,1.27180145907422e-06
"1306","Rechargeable battery",2012,4,2.37787105637516e-06
"1307","Settling time",2011,4,2.17811894380834e-06
"1308","Environmental change",2011,4,2.17811894380834e-06
"1309","Tympanic cavity",2009,4,1.22109850632178e-06
"1310","Power station",2011,4,2.17811894380834e-06
"1311","Space charge",2008,4,1.13158141898047e-06
"1312","Mechanical load",2012,4,2.37787105637516e-06
"1313","Rotation number",2011,4,2.17811894380834e-06
"1314","Functional group",2011,4,2.17811894380834e-06
"1315","Electrostatic precipitator",2010,4,2.14940284215538e-06
"1316","Side lobe",2014,4,1.08307950913754e-06
"1317","Quadrature booster",2014,4,1.08307950913754e-06
"1318","Telecommunications network",2010,4,2.14940284215538e-06
"1319","Deep structure and surface structure",2011,4,2.17811894380834e-06
"1320","Potential energy",2009,4,1.22109850632178e-06
"1321","Drag (physics)",2013,4,1.27180145907422e-06
"1322","Thermal conductivity",2007,4,1.36810415650564e-06
"1323","Humidity",2014,4,1.08307950913754e-06
"1324","Parallel (geometry)",2015,4,1.19590295606282e-06
"1325","Power factor",2009,4,1.22109850632178e-06
"1326","Specific surface area",2011,4,2.17811894380834e-06
"1327","Power-flow study",2007,4,1.36810415650564e-06
"1328","Deep structure and surface structure",2007,4,1.36810415650564e-06
"1329","Laminar flow",2009,4,1.22109850632178e-06
"1330","Flexural rigidity",2015,4,1.19590295606282e-06
"1331","Internal heating",2012,4,2.37787105637516e-06
"1332","Cell plate",2014,4,1.08307950913754e-06
"1333","Transformer",2009,4,1.22109850632178e-06
"1334","Automotive battery",2008,4,1.13158141898047e-06
"1335","Control arm",2013,4,1.27180145907422e-06
"1336","Motor system",2012,4,2.37787105637516e-06
"1337","Flow separation",2015,4,1.19590295606282e-06
"1338","Pole piece",2010,4,2.14940284215538e-06
"1339","Differential geometry of surfaces",2010,4,2.14940284215538e-06
"1340","Absolute value",2008,4,1.13158141898047e-06
"1341","Magnetic circuit",2007,4,1.36810415650564e-06
"1342","Drive wheel",2015,4,1.19590295606282e-06
"1343","Oxocarbon",2011,4,2.17811894380834e-06
"1344","Electromagnetic field",2006,4,1.63029744776935e-06
"1345","Magnetic core",2012,4,2.37787105637516e-06
"1346","Magnetic circuit",2006,4,1.63029744776935e-06
"1347","Spark gap",2011,4,2.17811894380834e-06
"1348","Voltage sag",2007,4,1.36810415650564e-06
"1349","Emergency management",2007,4,1.36810415650564e-06
"1350","Surface finishing",2008,4,1.13158141898047e-06
"1351","Radar cross-section",2015,4,1.19590295606282e-06
"1352","Response time (technology)",2012,4,2.37787105637516e-06
"1353","Pulse-width modulation",2014,4,1.08307950913754e-06
"1354","Fish farming",2006,4,1.63029744776935e-06
"1355","Tympanic cavity",2006,4,1.63029744776935e-06
"1356","Pressure vessel",2009,4,1.22109850632178e-06
"1357","Mineral oil",2011,4,2.17811894380834e-06
"1358","Pressure",2013,4,1.27180145907422e-06
"1359","Wireless",2015,4,1.19590295606282e-06
"1360","Glass transition",2014,4,1.08307950913754e-06
"1361","Mumbai Police Detection Unit",2011,4,2.17811894380834e-06
"1362","Mass flow",2011,4,2.17811894380834e-06
"1363","Modular unit",2011,4,2.17811894380834e-06
"1364","Hydropower",2013,4,1.27180145907422e-06
"1365","Area (country subdivision)",2011,4,2.17811894380834e-06
"1366","Current (fluid)",2011,4,2.17811894380834e-06
"1367","Small wind turbine",2014,4,1.08307950913754e-06
"1368","Volume fraction",2009,4,1.22109850632178e-06
"1369","Power-flow study",2013,4,1.27180145907422e-06
"1370","Compression molding",2015,4,1.19590295606282e-06
"1371","Temperature",2015,4,1.19590295606282e-06
"1372","Switch",2011,4,2.17811894380834e-06
"1373","Tympanic cavity",2013,4,1.27180145907422e-06
"1374","Rolling (metalworking)",2011,4,2.17811894380834e-06
"1375","Preventive maintenance",2009,4,1.22109850632178e-06
"1376","Chemical element",2013,4,1.27180145907422e-06
"1377","Plasticity (physics)",2010,4,2.14940284215538e-06
"1378","Rise time",2010,4,2.14940284215538e-06
"1379","Superficial inguinal ring",2009,4,1.22109850632178e-06
"1380","Power factor",2013,4,1.27180145907422e-06
"1381","Temperature control",2011,4,2.17811894380834e-06
"1382","Angle",2013,4,1.27180145907422e-06
"1383","Data storage device",2014,4,1.08307950913754e-06
"1384","Potential flow",2013,4,1.27180145907422e-06
"1385","Sea level",2009,4,1.22109850632178e-06
"1386","Electrical network",2015,4,1.19590295606282e-06
"1387","Power control",2013,4,1.27180145907422e-06
"1388","Steam turbine",2007,4,1.36810415650564e-06
"1389","Lift coefficient",2011,4,2.17811894380834e-06
"1390","Heat sink",2013,4,1.27180145907422e-06
"1391","Transverse plane",2012,4,2.37787105637516e-06
"1392","Working animal",2013,4,1.27180145907422e-06
"1393","Dependent and independent variables",2006,4,1.63029744776935e-06
"1394","Luminescent solar concentrator",2011,4,2.17811894380834e-06
"1395","Speed",2014,4,1.08307950913754e-06
"1396","Brake force",2015,4,1.19590295606282e-06
"1397","Flue gas",2011,4,2.17811894380834e-06
"1398","Operation Time",2011,4,2.17811894380834e-06
"1399","Power engineering",2008,4,1.13158141898047e-06
"1400","Power factor",2010,4,2.14940284215538e-06
"1401","Angle of rotation",2015,4,1.19590295606282e-06
"1402","Fixed position assembly",2014,4,1.08307950913754e-06
"1403","Alternative fuel",2010,4,2.14940284215538e-06
"1404","Double-track railway",2006,4,1.63029744776935e-06
"1405","Plain bearing",2015,4,1.19590295606282e-06
"1406","Partial pressure",2011,4,2.17811894380834e-06
"1407","Lookup table",2013,4,1.27180145907422e-06
"1408","Damping",2010,4,2.14940284215538e-06
"1409","Induction generator",2013,4,1.27180145907422e-06
"1410","Environmental flow",2009,4,1.22109850632178e-06
"1411","Electromagnetic induction",2011,4,2.17811894380834e-06
"1412","Room temperature",2014,4,1.08307950913754e-06
"1413","Electrical grid",2013,4,1.27180145907422e-06
"1414","Induction heating",2011,4,2.17811894380834e-06
"1415","Critical point (thermodynamics)",2013,4,1.27180145907422e-06
"1416","Motive power",2013,4,1.27180145907422e-06
"1417","Surface layer",2014,4,1.08307950913754e-06
"1418","Piezoelectric sensor",2010,4,2.14940284215538e-06
"1419","Network change",2015,4,1.19590295606282e-06
"1420","Lift (force)",2015,4,1.19590295606282e-06
"1421","Current source",2015,4,1.19590295606282e-06
"1422","Lifting equipment",2013,4,1.27180145907422e-06
"1423","Fundamental frequency",2010,4,2.14940284215538e-06
"1424","Tunica intima",2009,4,1.22109850632178e-06
"1425","Transverse plane",2014,4,1.08307950913754e-06
"1426","Membrane technology",2012,4,2.37787105637516e-06
"1427","Stirling engine",2014,4,1.08307950913754e-06
"1428","Flow Chart",2010,4,2.14940284215538e-06
"1429","Multiview orthographic projection",2015,4,1.19590295606282e-06
"1430","Thermoplastic",2013,4,1.27180145907422e-06
"1431","Traction motor",2011,4,2.17811894380834e-06
"1432","Block diagram",2006,4,1.63029744776935e-06
"1433","Pile cap",2015,4,1.19590295606282e-06
"1434","Energy harvesting",2011,4,2.17811894380834e-06
"1435","Residential area",2011,4,2.17811894380834e-06
"1436","Windcatcher",2008,4,1.13158141898047e-06
"1437","Parameter",2012,4,2.37787105637516e-06
"1438","Yaw system",2010,4,2.14940284215538e-06
"1439","Solar cell",2012,4,2.37787105637516e-06
"1440","Vortex generator",2009,4,1.22109850632178e-06
"1441","Aerodynamic force",2014,4,1.08307950913754e-06
"1442","Chloralkali process",2014,4,1.08307950913754e-06
"1443","Fuel cell",2010,4,2.14940284215538e-06
"1444","Cross section (geometry)",2009,4,1.22109850632178e-06
