"ngram1","ngram2","pubyear","count"
"2774","ISO 2145","Electric energy consumption",2010,2
"2775","Wind speed","Angle of rotation",2014,2
"2776","Thermometer","Cloud cover",2011,2
"2777","Wind power","Melody",2015,2
"2778","Electrical energy","AC power",2013,2
"2779","Yield (engineering)","Fatigue limit",2013,2
"2780","Surface (topology)","Convex polygon",2011,2
"2781","Water purification","Digital signal processing",2015,2
"2782","Linear motor","ISO 2145",2011,2
"2783","Wind speed","Electric power system",2011,2
"2784","Low-pass filter","Energy transformation",2011,2
"2785","Prestressed concrete","Floating raft system",2011,2
"2786","Energy development","Energy consumption",2010,2
"2787","Photovoltaic system","Air mass",2015,2
"2788","Wind power","Kinetic energy",2008,2
"2789","Heat pipe","Electric energy consumption",2011,2
"2790","Wind direction","Turbine blade",2009,2
"2791","Polymer concrete","Injection moulding",2014,2
"2792","Magnetic core","Electric machine",2013,2
"2793","Industrial applicability","Electric energy consumption",2011,2
"2794","Current sensor","Active load",2009,2
"2795","Tympanic cavity","Tunica intima",2009,2
"2796","Energy transformation","Beaufort scale",2014,2
"2797","Potential energy","Kinetic energy",2011,2
"2798","Wi-Fi","Secondary emission",2013,2
"2799","Prime time","Peak Time",2011,2
"2800","Turbine blade","Arc length",2011,2
"2801","Fill dirt","Electric machine",2009,2
"2802","Heat pump and refrigeration cycle","Geothermal power",2011,2
"2803","Units of measurement","Rotational speed",2011,2
"2804","Voltage regulator","Signaling (telecommunications)",2007,2
"2805","Wind wave","Tide",2007,2
"2806","Motive power","Electricity generation",2011,2
"2807","Vaccine","Stratum corneum",2011,2
"2808","Greenhouse gas","Electrical energy",2011,2
"2809","Carbon dioxide","Acetic acid",2011,2
"2810","Windcatcher","Energy development",2011,2
"2811","Wind power","Lead (engineering)",2012,2
"2812","Temperature","Solar chimney",2007,2
"2813","Electricity generation","Average",2013,2
"2814","Electrical connection","Control System",2006,2
"2815","Limit superior and limit inferior","Ground and neutral",2015,2
"2816","Potential energy","Environmental flow",2011,2
"2817","Low-pressure area","Kinetic energy",2009,2
"2818","Optical fiber","Light",2009,2
"2819","Renewable energy","Battery charger",2009,2
"2820","Energy transformation","Electricity generation",2008,2
"2821","Vehicle","Electrical energy",2010,2
"2822","Control System","Block diagram",2009,2
"2823","Supervisory control","Electric power transmission",2011,2
"2824","Alternator","Active Power",2011,2
"2825","Phase angle","Electric energy consumption",2013,2
"2826","Fluid dynamics","Estimator",2009,2
"2827","Room temperature","Polyester resin",2011,2
"2828","Steam turbine","Electric arc furnace",2011,2
"2829","Radio-frequency engineering","Radio frequency",2013,2
"2830","Renewable energy","Electrolysis of water",2014,2
"2831","Electrical energy","Control System",2011,2
"2832","Utility system","Electrical energy",2015,2
"2833","Wind power","Random variable",2014,2
"2834","Magnetic core","Induction coil",2007,2
"2835","Data link","Atmospheric pressure",2014,2
"2836","Primary field","Algebraic number field",2014,2
"2837","Wind speed","Mechanical system",2012,2
"2838","Photovoltaic system","Heat pump",2012,2
"2839","Offshore wind power","Energy storage device",2011,2
"2840","Wind direction","Beaufort scale",2008,2
"2841","Water turbine","ContactPoint",2011,2
"2842","Turbine blade","Blood test",2011,2
"2843","Electric power system","Alternating current",2012,2
"2844","Wind direction","Control System",2008,2
"2845","Internal resistance","Emission standard",2011,2
"2846","Frequency drift","Electric energy consumption",2013,2
"2847","Wind direction","Wafer (electronics)",2007,2
"2848","Wind power","Utilization rate",2011,2
"2849","Pressure swing adsorption","Oxocarbon",2011,2
"2850","Tax rate","Environmental flow",2011,2
"2851","Wind direction","Steady state",2011,2
"2852","Electrical energy","Eddy current",2014,2
"2853","Wind farm","Normal distribution",2011,2
"2854","Turbine blade","Angle of attack",2013,2
"2855","Thermometer","Control System",2011,2
"2856","Thermal expansion","Celsius",2011,2
"2857","Transmission system","Overhead power line",2010,2
"2858","World energy consumption","Physical plant",2013,2
"2859","Ground and neutral","Control System",2009,2
"2860","Load (computing)","Control System",2006,2
"2861","Wind farm","Thermal power station",2006,2
"2862","Electric generator","Control System",2015,2
"2863","Solar thermal collector","Energy storage",2015,2
"2864","Renewable energy","Exhaust gas",2006,2
"2865","Mechanical energy","Helicopter rotor",2007,2
"2866","Wind power","Plant efficiency",2012,2
"2867","Energy transformation","Electrical connection",2011,2
"2868","System model","Future value",2014,2
"2869","Wind power","Gear",2013,2
"2870","Wind direction","Electrical energy",2006,2
"2871","Powered aircraft","Linear motion",2008,2
"2872","Primary field","Algebraic number field",2015,2
"2873","Energy storage device","Electricity market",2011,2
"2874","Time","Natural gas prices",2015,2
"2875","Energy storage device","Concentrated solar power",2014,2
"2876","Surface area","Pier (architecture)",2012,2
"2877","Water turbine","Erosion",2013,2
"2878","Neutral axis","Block design",2014,2
"2879","Torque","Gyroscope",2008,2
"2880","Electric power distribution","Active Power",2015,2
"2881","Trace heating","Temperature gradient",2015,2
"2882","Wind power","Ground and neutral",2012,2
"2883","Surface roughness","Contact angle",2011,2
"2884","Potential energy","Internal heating",2012,2
"2885","Structural element","Primary (astronomy)",2011,2
"2886","Third Stage","Multistage rocket",2011,2
"2887","Wind power","Horizontal and vertical",2009,2
"2888","Stress concentration","Lift coefficient",2011,2
"2889","Vapor pressure","Thermometer",2011,2
"2890","Time","Sound level",2014,2
"2891","Turbine blade","Mass in special relativity",2012,2
"2892","Electromagnetic field","Alternator",2009,2
"2893","Renewable energy","Proton exchange membrane fuel cell",2012,2
"2894","Induction generator","Electric power system",2013,2
"2895","Yaw system","Rotation around a fixed axis",2010,2
"2896","Transition temperature","Electric machine",2013,2
"2897","Partwork","Lubricant",2011,2
"2898","Turbine blade","Mechanical fan",2012,2
"2899","Motor vehicle","Electric machine",2006,2
"2900","Standard deviation","Normal distribution",2011,2
"2901","Relative velocity","Higher Power",2011,2
"2902","Solar cell","Forms of energy",2006,2
"2903","Light","Electrical energy",2011,2
"2904","Electricity generation","Continuous signal",2011,2
"2905","Wind power","Circuit diagram",2012,2
"2906","Experience point","Electricity generation",2015,2
"2907","Memory foam","Kinetic energy",2010,2
"2908","Heat exchanger","Copper tubing",2007,2
"2909","Wind speed","Water turbine",2013,2
"2910","Rush hour","Electric power transmission",2015,2
"2911","Electric heating","Concentrated solar power",2011,2
"2912","Gear","Epicyclic gearing",2009,2
"2913","Renewable energy","High-temperature electrolysis",2011,2
"2914","Wind power","Phase angle",2011,2
"2915","Renewable energy","Fossil fuel",2006,2
"2916","Wind power","Pressure Flow Hypothesis",2009,2
"2917","Transformer","Electric power conversion",2011,2
"2918","Volume (thermodynamics)","Time",2015,2
"2919","Wind direction","Beaufort scale",2014,2
"2920","Magnetic flux","Electrical energy",2009,2
"2921","Wind power","Wind direction",2009,2
"2922","Wind farm","Control System",2013,2
"2923","Wind direction","Control System",2015,2
"2924","Wind engineering","Gravity Force",2012,2
"2925","Frequency changer","Distribution board",2013,2
"2926","Wind farm","Time",2015,2
"2927","Photovoltaic system","Hydrogen production",2014,2
"2928","Water turbine","Gear train",2013,2
"2929","Energy recovery","Beaufort scale",2008,2
"2930","Control System","Angle of rotation",2014,2
"2931","Storage tank","Hydraulic press",2015,2
"2932","Line number","Electric power conversion",2011,2
"2933","Power-flow study","Electrical energy",2007,2
"2934","Kinetic energy","Angle of attack",2014,2
"2935","Wind direction","ISO 6709",2008,2
"2936","Wind power","Fine-tuning",2014,2
"2937","Thermometer","Current sensor",2014,2
"2938","Geographic coordinate system","Electricity generation",2011,2
"2939","Heat equation","Carbon monoxide",2011,2
"2940","Wind power","Groupset",2011,2
"2941","Mumbai Police Detection Unit","Generalized mean",2008,2
"2942","Voltage source","Node (networking)",2015,2
"2943","System configuration","Cost reduction",2007,2
"2944","Water","Electrical energy",2013,2
"2945","Third phase","Motor controller",2015,2
"2946","Wind power","Electric power quality",2007,2
"2947","Power engineering","Phase modulation",2014,2
"2948","Oil bath","Cost reduction",2011,2
"2949","Energy transformation","Concentrated solar power",2014,2
"2950","User equipment","Mobile station",2011,2
"2951","Vaccine","Human skin",2011,2
"2952","Tunica intima","Flight control surfaces",2013,2
"2953","DC motor","Angular distance",2010,2
"2954","Steam turbine","Electrical energy",2013,2
"2955","Pulse-width modulation","Current source",2006,2
"2956","Wind power","Forms of energy",2006,2
"2957","Particle system","Deep structure and surface structure",2011,2
"2958","Heat sink","Heat exchanger",2009,2
"2959","Renewable resource","Product-form solution",2011,2
"2960","Coordinate system","Control variable",2015,2
"2961","Flight control surfaces","Electrical energy",2010,2
"2962","Permanent magnet motor","Electric machine",2009,2
"2963","Turbine blade","Electromagnetic spectrum",2015,2
"2964","Wind power","Hydraulic brake",2010,2
"2965","Water supply","Electric heating",2011,2
"2966","Energy storage","Channel capacity",2014,2
"2967","Hydraulic cylinder","Fluid dynamics",2008,2
"2968","Turbine blade","ContactPoint",2011,2
"2969","Induction generator","Electric power conversion",2009,2
"2970","Control System","Block diagram",2011,2
"2971","Wind speed","Ice",2008,2
"2972","Volume (thermodynamics)","Electricity pricing",2015,2
"2973","Hydropower","ContactPoint",2011,2
"2974","Carbon dioxide","Air mass",2008,2
"2975","Energy supply","Energy consumption",2015,2
"2976","Wind power","Value-form",2007,2
"2977","Energy storage device","Delocalized electron",2012,2
"2978","Rotational speed","Processing medium",2008,2
"2979","Wind power","Colored gold",2007,2
"2980","Magnetic flux","Induction coil",2007,2
"2981","Fuel cell","Environmental issue",2011,2
"2982","Star network","Central Unit",2011,2
"2983","Wind power","Higher Power",2013,2
"2984","Wind power","Treatment and control groups",2008,2
"2985","Low-pressure area","Energy conversion efficiency",2009,2
"2986","Dust reduction system","Disc brake",2014,2
"2987","Lift (force)","Angle of attack",2010,2
"2988","Standard deviation","Real number",2015,2
"2989","Wind direction","Normal (geometry)",2015,2
"2990","Wind farm","Electrical energy",2006,2
"2991","Supply network","Induction generator",2011,2
"2992","Turbine blade","Noise reduction",2014,2
"2993","Reference range","Future value",2014,2
"2994","Saline (medicine)","Osmotic pressure",2011,2
"2995","Initial condition","Data storage device",2011,2
"2996","Hydropower","Contact Point",2011,2
"2997","Utility frequency","Electric power transmission",2011,2
"2998","Bearing surface","Bearing (mechanical)",2012,2
"2999","Mean width","Lateral plate mesoderm",2011,2
"3000","Heat treating","Delocalized electron",2012,2
"3001","Permanent magnet motor","Electric machine",2010,2
"3002","Turbine blade","Energy development",2015,2
"3003","Diesel generator","Communications system",2011,2
"3004","Motor vehicle","Beaufort scale",2014,2
"3005","Syncword","Electricity generation",2013,2
"3006","Energy development","Cost overrun",2015,2
"3007","Power factor","AC power",2006,2
"3008","Fluid dynamics","Anemometer",2009,2
"3009","Environmental issue","Electric energy consumption",2011,2
"3010","Vacuum energy","Hydropower",2014,2
"3011","Wind speed","Wind engineering",2009,2
"3012","Solar irradiance","Light",2011,2
"3013","Wind speed","Hydraulics",2009,2
"3014","Lateral plate mesoderm","ISO 6709",2011,2
"3015","Ocean thermal energy conversion","Geothermal power",2011,2
"3016","Electric machine","Angular velocity",2013,2
"3017","Wind speed","Frequency changer",2008,2
"3018","Sunlight","Solar irradiance",2012,2
"3019","Pollution","Electricity generation",2014,2
"3020","Utility system","Energy transformation",2015,2
"3021","Wind direction","Electricity generation",2014,2
"3022","World energy consumption","Wind power",2007,2
"3023","Source code","Neutron source",2008,2
"3024","Heat exchanger","Carbon monoxide",2011,2
"3025","Energy transformation","Electrical energy",2006,2
"3026","Electrical connection","AC power",2009,2
"3027","Semi-major and semi-minor axes","Magnetic flux",2011,2
"3028","Voltage source","Block diagram",2012,2
"3029","Wind power","Base station",2006,2
"3030","Renewable fuels","Carbon monoxide",2011,2
"3031","Total value","Present",2015,2
"3032","Heat transfer","Green wall",2011,2
"3033","Mechanical energy","High Force",2011,2
"3034","Heat pump","Electrical energy",2012,2
"3035","Wind speed","Lift (force)",2011,2
"3036","Base oil","Apparent viscosity",2011,2
"3037","Rotational speed","Mathematical model",2014,2
"3038","Wind speed","Wind",2014,2
"3039","Natural gas prices","Loss function",2015,2
"3040","Vehicle","Fluid dynamics",2013,2
"3041","Wind speed","Wind power",2012,2
"3042","Volumetric flow rate","Environmental flow",2011,2
"3043","Parameter (computer programming)","Control System",2009,2
"3044","Battery charger","Automotive battery",2013,2
"3045","Field coil","Electric field",2011,2
"3046","Kinetic energy","Angle of attack",2015,2
"3047","Wind farm","Transient state",2014,2
"3048","Windcatcher","ISO 6709",2011,2
"3049","Plain bearing","Bearing surface",2014,2
"3050","Electric power industry","Electric power conversion",2013,2
"3051","Fatigue (material)","002 - Early Stage",2011,2
"3052","Frequency deviation","Electric power distribution",2013,2
"3053","Optical fiber","Light",2007,2
"3054","Rush hour","Electrical energy",2014,2
"3055","Peer pressure","Partial pressure",2015,2
"3056","Thermal shock","Fixed position assembly",2014,2
"3057","Magnetic circuit","Electric power conversion",2013,2
"3058","Mechanical energy","Input port",2011,2
"3059","Rotation around a fixed axis","Beaufort scale",2015,2
"3060","Electricity generation","Distribution function",2015,2
"3061","Unmanned aerial vehicle","Structural element",2011,2
"3062","Pressure vessel","Pneumatic actuator",2010,2
"3063","Wind direction","Rotational speed",2015,2
"3064","Thin film","Accusative case",2014,2
"3065","Mechanical energy","Beaufort scale",2009,2
"3066","Pressure","Body of water",2011,2
"3067","Wind power","Transmission (mechanics)",2013,2
"3068","Optical fiber cable","Energy storage",2014,2
"3069","Rolling-element bearing","Bearing (mechanical)",2014,2
"3070","Electric power conversion","Distribution board",2015,2
"3071","Parameter (computer programming)","Electricity generation",2014,2
"3072","Water storage","Energy storage",2012,2
"3073","Temperature gradient","Region",2011,2
"3074","Motor vehicle","Electric machine",2007,2
"3075","Wind power","Electric energy consumption",2011,2
"3076","Static pressure","Internal heating",2012,2
"3077","Pulse-width modulation","Diode bridge",2006,2
"3078","Network formation","Alternating current",2009,2
"3079","Torque ripple","Line voltage",2014,2
"3080","Electric energy consumption","Electrical network",2013,2
"3081","Structural Damage","Stress concentration",2012,2
"3082","Industrial applicability","Condition-based maintenance",2011,2
"3083","Heat exchanger","Energy storage",2011,2
"3084","Shape optimization","Energy transformation",2014,2
"3085","Structural element","Heat transfer",2011,2
"3086","Waste heat","Renewable fuels",2013,2
"3087","Working animal","Membrane technology",2012,2
"3088","Wind power","Reference range",2012,2
"3089","Electrical connection","Control System",2007,2
"3090","Volumetric flow rate","Tax rate",2011,2
"3091","Error function","AC power",2009,2
"3092","Electromagnetic spectrum","Electricity generation",2011,2
"3093","Wind power","Heat exchanger",2013,2
"3094","Electric power transmission","Control System",2007,2
"3095","Wind power","Telecommunications network",2015,2
"3096","Kinetic energy","Centrifugal force",2012,2
"3097","Pressure","Pipe flow",2015,2
"3098","Water vapor","Electrical energy",2008,2
"3099","Tympanic cavity","Magnetic pressure",2006,2
"3100","Water turbine","002 - Early Stage",2011,2
"3101","Value-form","Power reserve indicator",2007,2
"3102","Wind wave","Structural element",2010,2
"3103","Wind power","Tidal power",2010,2
"3104","Response time (technology)","Gain (electronics)",2012,2
"3105","Work Time","Working time",2011,2
"3106","Pour point","Mineral oil",2011,2
"3107","Force","Dynamic pressure",2014,2
"3108","Wind speed","Process architecture",2011,2
"3109","Sulfur dioxide","Air pollution",2011,2
"3110","Oxygen","Hydrogen atom",2014,2
"3111","Wind tunnel","Water supply",2011,2
"3112","Wind speed","Lubricant",2011,2
"3113","Physical plant","Geothermal heating",2014,2
"3114","Rotation number","Cryogenics",2011,2
"3115","Wind power","Thermoregulation",2011,2
"3116","Wind farm","Thermometer",2015,2
"3117","Grid energy storage","Electrical energy",2011,2
"3118","Ocean","Benthic zone",2011,2
"3119","Power factor","AC power",2009,2
"3120","Pneumatic actuator","Natural gas",2010,2
"3121","Turbine blade","Radio frequency",2015,2
"3122","Hydraulics","Alternator",2011,2
"3123","Kinetic energy","Centrifugal force",2013,2
"3124","Signaling (telecommunications)","Generator function",2011,2
"3125","Internal heating","Hydropower",2012,2
"3126","Wind farm","Acoustic wave",2010,2
"3127","Sunlight","Heat transfer",2011,2
"3128","Ultimate tensile strength","Specific modulus",2012,2
"3129","Renewable energy","Cost reduction",2009,2
"3130","Two-stroke engine","Heat-transfer fluid",2015,2
"3131","Waste heat","Electric power transmission",2015,2
"3132","Thermal energy","Data storage device",2015,2
"3133","Wind component chart","Heating system",2008,2
"3134","Heat exchanger","Electric power conversion",2015,2
"3135","Turbine blade","Contact Point",2011,2
"3136","Electricity generation","Block diagram",2011,2
"3137","Plane of rotation","Dihedral angle",2007,2
"3138","Vertical plane","Plane of rotation",2015,2
"3139","Transient state","Clock rate",2014,2
"3140","Partial oxidation","Oxocarbon",2011,2
"3141","Kinetic energy","Flow Energy",2011,2
"3142","Heat pump","Energy storage",2008,2
"3143","Electric power transmission","Electric power conversion",2009,2
"3144","User equipment","Osmotic power",2011,2
"3145","Hydrogen tank","DC motor",2011,2
"3146","Stirling engine","Molten salt",2014,2
"3147","Epicyclic gearing","Electric generator",2011,2
"3148","Electricity generation","Angle of attack",2014,2
"3149","Wind power","Crystal structure",2006,2
"3150","Wind tunnel","Low-pressure area",2009,2
"3151","Mature technology","Energy supply",2011,2
"3152","Lifting equipment","Assembly line",2015,2
"3153","Wind speed","Flight control surfaces",2013,2
"3154","Weight transfer","Heat exchanger",2008,2
"3155","Geothermal heating","Electricity generation",2011,2
"3156","Rolling-element bearing","Internal combustion engine",2015,2
"3157","Organic matter","Delocalized electron",2012,2
"3158","Superconducting wire","Field coil",2009,2
"3159","Water supply","Renewable energy",2015,2
"3160","Wave power","Oil platform",2012,2
"3161","Motive power","Hydropower",2011,2
"3162","Energy consumption","Electromagnetic spectrum",2011,2
"3163","Wind power","Control System",2007,2
"3164","Mechanical load","Beaufort scale",2012,2
"3165","Synchronous motor","Sheet metal",2011,2
"3166","Electric power system","Electrical energy",2011,2
"3167","Vortex generator","Lift coefficient",2007,2
"3168","Flow diagram","Direct current",2011,2
"3169","NodeB","Base station",2011,2
"3170","Rotational speed","Mechanical energy",2013,2
"3171","Base station","Air current",2007,2
"3172","Wind power","Environmental issue",2010,2
"3173","Structural stability","Structural integrity and failure",2010,2
"3174","Frequency drift","Electrical network",2013,2
"3175","Energy conservation","Automotive battery",2013,2
"3176","Line voltage","Electric machine",2013,2
"3177","Power-flow study","Electric power system",2011,2
"3178","Water vapor","Mechanical energy",2008,2
"3179","Mumbai Police Detection Unit","Image quality",2007,2
"3180","Voltage regulator","Power factor",2014,2
"3181","Wind power","Kinetic energy",2010,2
"3182","Total internal reflection","Luminescent solar concentrator",2011,2
"3183","Linear motion","Lift (force)",2010,2
"3184","Work Time","Flow velocity",2010,2
"3185","Intermediate product","Electrolysis of water",2014,2
"3186","Vertical plane","Flight control surfaces",2011,2
"3187","Rolling-element bearing","Race (bearing)",2009,2
"3188","Rotational speed","Control System",2012,2
"3189","Kilometre zero","Control System",2013,2
"3190","Wind speed","Cost overrun",2015,2
"3191","Water","Kinetic energy",2010,2
"3192","Transmission line","Composite material",2015,2
"3193","Fluid dynamics","Energy development",2012,2
"3194","Rotation around a fixed axis","Power iteration",2011,2
"3195","Transmission (mechanics)","Flight control surfaces",2014,2
"3196","Link layer","Header (computing)",2011,2
"3197","Transformer types","Renewable energy",2011,2
"3198","Endothermic process","Anaerobic digestion",2011,2
"3199","Electricity generation","Electrical element",2013,2
"3200","Turbine blade","Mechanical energy",2014,2
"3201","Detection risk","Audit risk",2011,2
"3202","Nominal power (radio broadcasting)","Measuring instrument",2008,2
"3203","Power management system","Energy storage",2007,2
"3204","Mechanical system","Electric machine",2010,2
"3205","Thermometer","High frequency",2014,2
"3206","Solar panel","Energy storage device",2012,2
"3207","Signaling (telecommunications)","Euler angles",2013,2
"3208","Heat sink","Heat exchanger",2007,2
"3209","Wind direction","Energy transformation",2014,2
"3210","Waste heat","Volume (thermodynamics)",2011,2
"3211","Mechanical energy","Annulus (mathematics)",2011,2
"3212","Power-flow study","Diesel generator",2015,2
"3213","Pressure measurement","Ammonium nitrate",2014,2
"3214","Wireless","Water turbine",2015,2
"3215","Magnetic core","Electrical steel",2011,2
"3216","Vaccine","Cutaneous condition",2011,2
"3217","Solid surface","Ice",2011,2
"3218","Turbine","Helicopter rotor",2006,2
"3219","Wind speed","Crystal structure",2011,2
"3220","Electric machine","Cryogenics",2011,2
"3221","Control System","Aerodynamic force",2013,2
"3222","Interference (wave propagation)","Electricity generation",2010,2
"3223","Fuel cell","Energy storage device",2013,2
"3224","Renewable energy","Molten carbonate fuel cell",2012,2
"3225","Source code","Photovoltaic system",2014,2
"3226","Surface area","Structural element",2011,2
"3227","Sustainable development","Concentrated solar power",2011,2
"3228","Hydrogen production","Fuel cell",2014,2
"3229","Thermal contact","Heat exchanger",2007,2
"3230","Plane of rotation","Parallel (geometry)",2008,2
"3231","Organic matter","Heat treating",2012,2
"3232","Renewable energy","Petroleum",2011,2
"3233","Transformer","Offshore wind power",2015,2
"3234","Flow battery","Electricity generation",2013,2
"3235","LED lamp","Heat sink",2011,2
"3236","High pressure","Fuel cell",2011,2
"3237","Magnetic bearing","Bearing (mechanical)",2009,2
"3238","Energy storage device","Cost reduction",2007,2
"3239","World Heroes","Membrane technology",2012,2
"3240","Oil reserves","Air pollution",2011,2
"3241","Leading edge","Flight control surfaces",2007,2
"3242","Wind direction","Euler angles",2006,2
"3243","Wind speed","Fluid dynamics",2013,2
"3244","Wind farm","Power control",2015,2
"3245","Municipal solid waste","Base station",2011,2
"3246","Induction heating","Electrical energy",2011,2
"3247","Puretic power block","Electrical energy",2014,2
"3248","Power factor","Control System",2010,2
"3249","Relative humidity","Benzene",2015,2
"3250","Heat exchanger","Fluid dynamics",2010,2
"3251","Induction generator","Alternator",2011,2
"3252","Injection moulding","Drinking water",2014,2
"3253","Green wall","Energy consumption",2011,2
"3254","Solar thermal energy","Solar cell",2014,2
"3255","Wind farm","Electrical network",2013,2
"3256","Offshore wind power","Offshore structure",2014,2
"3257","Wind power","Energy transformation",2014,2
"3258","Torque ripple","Electrical energy",2015,2
"3259","Rolling-element bearing","Plain bearing",2015,2
"3260","Reactive material","Compressed hydrogen",2014,2
"3261","Optimal design","Machine Design",2011,2
"3262","Motor drive","Electric power conversion",2013,2
"3263","Rotational speed","Cruise control",2012,2
"3264","Wind speed","Surface roughness",2011,2
"3265","Pulse-width modulation","Electric power system",2014,2
"3266","Wind power","Composite material",2010,2
"3267","Pressure measurement","Hydraulic head",2014,2
"3268","Wind direction","Public transport",2006,2
"3269","Wind farm","Speed",2009,2
"3270","Units of measurement","Electric power conversion",2011,2
"3271","Wind direction","Average",2010,2
"3272","Wind power","Photovoltaic power station",2015,2
"3273","Thermal radiation","Thermal insulation",2013,2
"3274","Total station","Digital photography",2011,2
"3275","Phase angle","AC power",2011,2
"3276","Water treatment","Boiler feedwater",2013,2
"3277","Thermometer","Solar power",2011,2
"3278","Traditional method","Rotation around a fixed axis",2011,2
"3279","Wind speed","Draft tube",2009,2
"3280","Wind speed","Electric energy consumption",2012,2
"3281","Electricity generation","Electrical network",2013,2
"3282","Energy storage","Energy management",2015,2
"3283","Magnetic flux","Injection moulding",2015,2
"3284","Ocean thermal energy conversion","Heat pump and refrigeration cycle",2011,2
"3285","Electrical network","Condenser (heat transfer)",2008,2
"3286","Sensible heat","Phase transition",2011,2
"3287","Power density","Packaging and labeling",2014,2
"3288","Time domain","AC power",2014,2
"3289","Position sensor","Current collector",2012,2
"3290","Geographic data and information","Expected value",2011,2
"3291","Stream power","Mechanical energy",2009,2
"3292","Fuel cell","Conformal coating",2015,2
"3293","Surface area","ISO 6709",2015,2
"3294","Wind direction","Lookup table",2011,2
"3295","Working time","Flow velocity",2011,2
"3296","Pressure-gradient force","Coriolis force",2011,2
"3297","Wind power","Sums of powers",2011,2
"3298","Frequency deviation","AC power",2012,2
"3299","Wind speed","Peak power",2011,2
"3300","Current sensor","Control logic",2011,2
"3301","Propeller","Drive shaft",2013,2
"3302","Powered aircraft","Mechanical energy",2008,2
"3303","Turbine blade","Signaling (telecommunications)",2010,2
"3304","Stainless steel","Aluminium alloy",2012,2
"3305","Mechanical system","Fluid dynamics",2013,2
"3306","Motive power","Magnetic bearing",2012,2
"3307","Thermal expansion","Active surface",2011,2
"3308","Wind power","Motive power",2011,2
"3309","Potential energy","Hydropower",2012,2
"3310","Emergency management","Cruise control",2011,2
"3311","Energy storage device","Differential (mechanical device)",2013,2
"3312","Electric power conversion","AC power",2015,2
"3313","Wind power","Torsion bar suspension",2014,2
"3314","Mechanical energy","Fluid dynamics",2009,2
"3315","Transducer","Power outage",2014,2
"3316","Kinetic energy","Energy development",2010,2
"3317","Motor vehicle","Foamcore",2011,2
"3318","Stabilizer (chemistry)","Glass fiber",2011,2
"3319","Wind power","Generation Loss",2011,2
"3320","Wind speed","Friction loss",2011,2
"3321","Turbulence","Mechanical energy",2011,2
"3322","Structural element","Interference fit",2008,2
"3323","Oxocarbon","Anaerobic digestion",2011,2
"3324","Wind direction","Energy industry",2011,2
"3325","Transmission system","Family of sets",2013,2
"3326","Wind farm","Power factor",2009,2
"3327","Fluid dynamics","Energy development",2014,2
"3328","Magnetic flux","Electric power conversion",2011,2
"3329","Wind power","Energy supply",2011,2
"3330","Load (computing)","Control System",2007,2
"3331","Energy development","Bipartite dimension",2012,2
"3332","Electric machine","Electric generator",2011,2
"3333","High pressure","Electrical energy",2015,2
"3334","Induction coil","Electrical energy",2007,2
"3335","Power function","Alternator",2010,2
"3336","Heat exchanger","Drinking",2010,2
"3337","Mechanical energy","Electric machine",2014,2
"3338","Wind farm","Data set",2006,2
"3339","Turbine blade","Radiant energy",2015,2
"3340","Emergency management","Electrical energy",2007,2
"3341","Electric power distribution","Electric energy consumption",2015,2
"3342","Induction generator","AC power",2008,2
"3343","Wind power","Optical fiber cable",2014,2
"3344","Heat exchanger","Control System",2011,2
"3345","High pressure","Carbon dioxide",2011,2
"3346","Optical fiber","Length function",2014,2
"3347","Water turbine","Water purification",2015,2
"3348","Solar cell","Electromagnetic spectrum",2015,2
"3349","Wind power","Cable length",2008,2
"3350","Electrochemical cell","Concentrated solar power",2014,2
"3351","Energy development","Electric power transmission",2014,2
"3352","Heating system","District heating",2008,2
"3353","Thermometer","Pole piece",2013,2
"3354","Kinetic energy","Energy transformation",2012,2
"3355","Pour point","Cryogenics",2011,2
"3356","Wind power","Surface area",2010,2
"3357","Time","Electrical load",2015,2
"3358","Wind power","Solar irradiance",2013,2
"3359","Water turbine","Electrical energy",2010,2
"3360","Wave","Electrical energy",2011,2
"3361","Wind power","Energy transformation",2011,2
"3362","Sensible heat","Celsius",2011,2
"3363","Wind speed","Experience point",2008,2
"3364","Probability distribution","Electric power system",2014,2
"3365","Heat exchanger","Booting",2015,2
"3366","Input port","Duty cycle",2011,2
"3367","Cross section (geometry)","Atmosphere of Earth",2011,2
"3368","Source code","Renewable energy",2014,2
"3369","Direct current","Alternating current",2011,2
"3370","Wind power","Disc brake",2008,2
"3371","Wind speed","Operating point",2012,2
"3372","Water resources","Environmental protection",2014,2
"3373","Solar cell","Circuit diagram",2011,2
"3374","Wind tunnel","Horizontal and vertical",2011,2
"3375","Transformer","Electric power system",2015,2
"3376","Temperature control","HVAC",2011,2
"3377","Tree (data structure)","Transmission line",2011,2
"3378","Thermal energy","Heat pump",2006,2
"3379","Wind power","Mumbai Police Detection Unit",2009,2
"3380","Wind direction","Beaufort scale",2009,2
"3381","Solar thermal energy","Energy transformation",2014,2
"3382","Voltage sag","Electrical energy",2008,2
"3383","Optical fiber","Fiber optic sensor",2014,2
"3384","Composite material","Anti-scratch coating",2014,2
"3385","Wind farm","Supervisory control",2008,2
"3386","Water level","Water",2011,2
"3387","Wind power","Lifting equipment",2011,2
"3388","Mechanical energy","Hydropower",2011,2
"3389","Surface area","Present",2013,2
"3390","Vaccine","Soap",2011,2
"3391","Rotational energy","Kinetic energy",2007,2
